title,category,content rate
Cop Car,suspense,R
La Cordillera (The Summit),drama,TV-MA
The Core,horror-sci-fi,PG-13
El Corredor (The Runner),comedy,TV-14
The Count of Monte Cristo,drama,PG-13
Cradle 2 the Grave,action,R
Crimes and Misdemeanors,comedy,PG-13
Cuentas Por Cobrar (Achilles' Redemption),drama,TV-MA
A Cure for Wellness,horror-sci-fi,R
Cutthroat Island,action,PG-13
Dances With Wolves,drama,PG-13
Dangerous Minds,drama,R
Darkest Hour,drama,PG-13
Daybreak,drama,R
Dead Calm,suspense,R
Dead Silence,suspense,R
Dear Renzo,comedy,TV-14
Death Warrant,suspense,R
Deep Rising,horror-sci-fi,R
The Descent,horror-sci-fi,R
The Descent: Part 2,horror-sci-fi,R
The Devil Wears Prada,comedy,PG-13
The Devil's Rejects,horror-sci-fi,R
El Diablo,comedy,PG-13
Diary of a Wimpy Kid,comedy,PG
Diary of a Wimpy Kid: The Long Haul,comedy,PG
Diez minutos antes,drama,TV-14
Dinner with Friends,comedy,R
Dirty War,suspense,TV-MA
Doc Hollywood,,PG-13
Dolores Claiborne,suspense,R
Dolphin Tale 2,drama,PG
Don't Tell Mom the Babysitter's Dead,comedy,PG-13
The Door in the Floor,drama,R
Dr. Seuss' The Cat in the Hat,comedy,PG
Drag Me to Hell,horror-sci-fi,PG-13
"Dude, Where's My Car?",comedy,PG-13
Dunkirk,drama,PG-13
Duplicity,romance,PG-13
Early Man,comedy,PG
Earthday Birthday,,TV-Y
Edge of Darkness,suspense,R
La educacion del Rey,drama,TV-MA
Einstein and Eddington,drama,TV-PG
Elizabeth I (Part 1),drama,TV-MA
Elizabeth I (Part 2),drama,TV-MA
The Emperor's Club,drama,PG-13
Empire,drama,R
Empire Falls (Part 1),drama,TV-14
Empire Falls (Part 2),drama,TV-14
The Enemy Within,suspense,TV-14
Envy,comedy,PG-13
Esteban,drama,TV-PG
Everyday People,drama,TV-MA
Evita,drama,PG-13
Extreme Measures,suspense,R
The Fabulous Baker Boys,comedy,R
Fahrenheit 451,horror-sci-fi,TV-14
Fantastic Beasts and Where to Find Them,action,PG-13
Fantastic Mr. Fox,comedy,PG
Fargo,comedy,R
Father Figures,comedy,R
Fellow Traveller,drama,TV-14
Ferdinand,comedy,PG
The Fever,drama,TV-14
Fifty Shades Darker,romance,R
Fifty Shades Freed,romance,R
Firewall,suspense,PG-13
First Daughter,comedy,PG
First Kill,action,R
First Man: HBO First Look,drama,TV-PG
Fist Fight,comedy,R
Fletch,comedy,PG
Fletch Lives,comedy,PG
Four Christmases,comedy,PG-13
Freaky Friday,comedy,PG
Frequently Asked Questions About Time Travel,horror-sci-fi,TV-14
From Prada to Nada,,PG-13
The Fugitive,drama,PG-13
The Full Monty,comedy,R
Funny People,comedy,R
El Futbol o Yo,comedy,TV-14
Game Change,drama,TV-MA
Game Night,comedy,R
Garden State,romance,R
The Gathering Storm,drama,TV-PG
The Ghost Writer,drama,PG-13
Gia,drama,R
The Girl,drama,TV-14
Glory Road,drama,PG
The Good Lie,drama,PG-13
Good Morning,drama,TV-14
Goodbye Christopher Robin,drama,PG
GoodFellas,drama,R
Goodnight Moon & Other Sleepytime Tales,family,TV-Y
La Gran Promesa (The Big Promise),drama,TV-MA
The Greatest Showman,drama,PG
The Greatest Showman: HBO First Look,drama,PG-13
Grey Gardens,drama,TV-14
Las Grietas de Jara (Dark Buildings),drama,TV-14
The Guru,comedy,R
Gus Van Sant's Last Days,drama,R
Hard Candy,drama,R
HBO Access 01: The Walk,drama,TV-14
HBO Access 02: Emergency Contact,drama,TV-14
HBO Access 03: Progress,drama,TV-14
HBO Access 04: The Last Song,drama,TV-14
HBO Access 2016 01: Manic,drama,TV-14
HBO Access 2016 02: Lady Bouncer,comedy,TV-14
HBO Access 2016 03: F**ked Up,comedy,TV-14
HBO First Look: War for the Planet of the Apes,horror-sci-fi,TV-PG
Head Office,comedy,PG-13
Head Over Heels,comedy,PG-13
Heaven Can Wait (1978),comedy,PG
Held Up,comedy,PG-13
Hemingway & Gellhorn,romance,TV-MA
Hijo por Hijo (Child for Child),suspense,TV-MA
The Hitcher,suspense,R
The Hitman's Bodyguard,comedy,R
Holes,comedy,PG
Holy Man,comedy,PG
El Hombre Que Cuida (The Watchman),drama,TV-MA
Homeward Bound II: Lost in San Francisco,family,G
Homeward Bound: The Incredible Journey,family,G
"Honey, I Blew Up the Kid",family,PG
"Honey, I Shrunk the Kids",family,PG
Las horas contadas (The Numbered Hours),latino,TV-PG
House of 1000 Corpses,horror-sci-fi,R
House of D,drama,PG-13
House of Saddam,drama,TV-MA
House of Saddam - Part II,drama,TV-MA
House of Saddam - Part III,drama,TV-MA
House of Saddam - Part IV,drama,TV-MA
House of the Dead,horror-sci-fi,R
House of the Dead 2,horror-sci-fi,R
How to Train Your Dragon,family,PG
El Hueco (The Hole),comedy,TV-PG
The Human Stain,suspense,R
Hunter Killer: HBO First Look,action,TV-PG
I Have Tourette's but Tourette's Doesn't Have Me,family,TV-PG
I Heart Huckabees,comedy,R
Ice Age,comedy,PG
Identity,suspense,R
Illegal Tender,suspense,R
The Immortal Life of Henrietta Lacks,drama,TV-MA
In Pursuit of Honor,drama,PG-13
In the Army Now,comedy,PG
In the Gloaming,drama,PG
In the Name of the Father,drama,R
Indictment: The McMartin Trial,drama,R
Inherent Vice,drama,R
The Inquisition of Camilo Sanz,romance,TV-MA
Inseparables,comedy,TV-14
Into the Storm,drama,TV-PG
The Invention of Lying,comedy,PG-13
Invictus,drama,PG-13
Invincible,drama,PG
La invitacion (Sleepover),drama,TV-PG
Ira Sleeps Over,,TV-Y
IT,suspense,R
It's Complicated,comedy,R
Jack Frost,comedy,PG
Jennifer's Body,horror-sci-fi,R
Jersey Boys,drama,R
JieJie,drama,TV-PG
Joe's Palace,drama,TV-MA
Judgment,drama,PG-13
Juegos de familia (Family Games),comedy,TV-MA
June,drama,TV-PG
Jungle Master,comedy,PG
Just Visiting,comedy,PG-13
Justice League,action,PG-13
K-9,comedy,PG-13
K-911,comedy,PG-13
K-9: P.I.,comedy,PG-13
Kenke (Weed),comedy,TV-14
"Kiki, El Amor se Hace (Kiki, Love to Love)",comedy,TV-MA
The King and I,drama,G
Kingsman: The Golden Circle,comedy,R
Kingsman: The Golden Circle: HBO First Look,comedy,TV-PG
"Kiss Kiss, Bang Bang",comedy,R
Kissing Jessica Stein,comedy,R
Knight and Day,comedy,PG-13
Kung Pow! Enter the Fist,comedy,PG-13
Lady Day at Emerson's Bar & Grill,drama,TV-14
Lady Macbeth,drama,R
Land of the Lost,comedy,PG-13
Lara Croft Tomb Raider: The Cradle of Life,action,PG-13
The Laramie Project,drama,TV-14
The Last Godfather,comedy,PG-13
The Last of the Blonde Bombshells,comedy,PG-13
The Last Outlaw,action,R
The Late Shift,comedy,R
The Layover,comedy,TV-14
The Least Worst Man,comedy,TV-14
The Lego Batman Movie,comedy,PG
The Lego Ninjago Movie,comedy,PG
The Leisure Class,comedy,TV-MA
The Leopards Take Manhattan: The Little Band That Roared,family,TV-G
Liar Liar,comedy,PG-13
Life Support,drama,TV-MA
A Little Chaos,comedy,R
Live by Night,drama,R
The Lizzie McGuire Movie,comedy,PG
Locos de Amor (Crazy in Love),comedy,TV-14
Longford,drama,TV-MA
Looking: The Movie,comedy,TV-MA
The Lost Boys,comedy,R
Lowriders,drama,PG-13
Luces brillantes (Shine a Light),drama,TV-14
Lucky You,drama,PG-13
Un lugar en el Caribe (A Place in the Caribbean),romance,TV-14
Luna,drama,TV-14
"Lyle, Lyle Crocodile: The Musical",,TV-Y
Madre (Mother),drama,TV-MA
The Magical Wand Chase: A Sesame Street Special,family,TV-Y
Mama se fue de viaje (Ten Days Without Mom),comedy,TV-PG
Man on Fire,drama,R
Mandrake Telefilm: Part 1,drama,TV-MA
Mandrake Telefilm: Part 2,drama,TV-MA
Maquinaria Panamericana (Panamerican Machinery),comedy,TV-14
March of the Penguins,family,G
Marci X,comedy,R
Maria (y los demas) (Maria and Everyone Else),drama,TV-MA
Maria Full of Grace,drama,R
Marmaduke,comedy,PG
Mary and Martha,drama,TV-PG
The Mask,comedy,PG-13
Matar a Jesus (Killing Jesus),drama,TV-MA
Maverick,comedy,PG
Maze Runner: The Death Cure,horror-sci-fi,PG-13
"Me Estas Matando Susana (You're Killing Me, Susana)",comedy,TV-MA
The Medallion,comedy,PG-13
Megamind,comedy,PG
Mercury Rising,suspense,R
Mi Mundial (Home Team),comedy,TV-14
Mickey Blue Eyes,comedy,PG-13
The Midnight Meat Train,horror-sci-fi,R
Mighty Joe Young,family,PG
Mike Mulligan and His Steam Shovel,,TV-Y
Mike Tyson: Undisputed Truth,drama,TV-MA
Mision Estrella (The Highest Goal),comedy,TV-PG
Miss Evers' Boys,drama,PG
Mom and Dad Save the World,comedy,PG
Mosca (Fly),drama,TV-14
The Mountain Between Us,romance,PG-13
Mr. Magoo,comedy,PG
Mr. Mom,comedy,PG
Muhammad Ali's Greatest Fight,drama,TV-14
The Mummy,horror-sci-fi,PG-13
The Mummy: HBO First Look,horror-sci-fi,TV-MA
Murder at 1600,drama,R
Murder by Numbers,suspense,R
Murder on the Orient Express,drama,PG-13
The Music in Me: A Family Special,family,TV-G
The Music in Me: Children's Recitals,family,TV-G
My Dinner with Herv�,drama,TV-MA
My Father the Hero,comedy,PG
My Zinc Bed,drama,TV-MA
"Mystery, Alaska",comedy,R
Napoleon Dynamite,comedy,PG
National Lampoon's Van Wilder 2: The Rise of Taj,comedy,R
New Jack City,drama,R
The Newton Boys,drama,PG-13
Night at the Museum: Battle of the Smithsonian,comedy,PG
Nightingale,drama,TV-14
Ninja Assassin,action,R
The Normal Heart,drama,TV-MA
Notes From The Field,drama,TV-MA
The Notorious Bettie Page,drama,R
A Number,drama,TV-14
The Nutty Professor,comedy,PG-13
Nutty Professor II: The Klumps,comedy,PG-13
Odd Jobs,comedy,PG-13
Off the Menu,comedy,TV-PG
Once Upon a Sesame Street Christmas,family,TV-Y
Once Upon a Time in Mexico,comedy,R
Operation Dumbo Drop,comedy,PG
Oscar,comedy,PG
Owning Mahowny,drama,R
Pacific Rim Uprising: HBO First Look,horror-sci-fi,TV-PG
La Palabra de Pablo (Pablo?s Word),drama,TV-MA
Paparazzi,suspense,PG-13
Paradise,romance,PG-13
Passenger 57,suspense,R
Paterno,drama,TV-MA
Path to War,drama,TV-14
Patti Cake$,drama,R
Pen Pals,family,TV-G
The Pentagon Wars,comedy,R
A Perfect Getaway,suspense,R
A Perfect World,drama,PG-13
El Peso de la Ley (The Weight of the Law),drama,TV-MA
Peter Pan,family,PG
Phantom Thread,drama,R
Phenomenon,romance,PG
Phil Spector,drama,TV-MA
Pinochet's Last Stand,drama,TV-14
The Pirates Who Don't Do Anything: A VeggieTales Movie,family,G
Pitch Perfect 3,comedy,PG-13
Pitch Perfect 3: HBO First Look,comedy,PG-13
The Post,drama,PG-13
The Postman Always Rings Twice,suspense,R
Practical Magic,comedy,PG-13
Preach,latino,TV-MA
Presos (Imprisoned),suspense,TV-MA
Primo,drama,TV-PG
The Princess Bride,comedy,PG
Promocion Fantasma (Ghost Graduation),comedy,R
A Prueba (On Trial),drama,TV-14
Pu-239,drama,TV-MA
Public Enemies,drama,R
La Punta del Iceberg (The Tip of the Iceberg),suspense,TV-MA
Que Dios nos perdone (May God Save Us),suspense,TV-MA
Rara,drama,TV-14
Real Women Have Curves,drama,PG-13
Recount,drama,TV-MA
La region salvaje (The Untamed),suspense,TV-MA
Reign of Fire,action,PG-13
Reinbou (Rainbow),drama,TV-PG
Remittance,drama,TV-PG
Reno 911!: Miami,comedy,R
Resurrect,drama,TV-14
Ricochet,suspense,R
Rock Dog,comedy,PG
Rocket Science,comedy,R
Romeo & Juliet,romance,PG-13
Romeo Must Die,action,R
Ronin,suspense,R
Run Fatboy Run,comedy,PG-13
Rupture,horror-sci-fi,TV-MA
Samba (Sandbag),drama,TV-MA
The Sandlot,comedy,PG
The Sandlot 2,comedy,PG
Seabiscuit,drama,PG-13
Secretary,drama,R
Sensum,drama,TV-14
Sgt. Bilko,comedy,PG
The Shaggy Dog,comedy,PG
The Shape of Water,romance,R
The Shape of Water: HBO First Look,romance,TV-PG
Shattered Glass,drama,PG-13
Sherlock Holmes,suspense,PG-13
Shine,drama,PG-13
Short Time,comedy,PG-13
Shrek 2,comedy,PG
Shrek Forever After,comedy,PG
The Singing Detective,comedy,R
The Sissy Duckling,family,TV-Y7
Sleight,drama,R
The Snowman,suspense,R
Sol de medianoche (Midnight Sun),drama,TV-MA
Someone Had to Be Benny,family,TV-Y7
Something the Lord Made,drama,TV-PG
Sometimes in April,drama,TV-MA
Sorority Boys,comedy,R
A Sound of Thunder,drama,PG-13
Soy Nero (I Am Nero),drama,TV-MA
Space Cowboys,comedy,PG-13
The Special Relationship,drama,TV-14
Spy Kids,family,PG
The Spy Next Door,comedy,PG
Star Trek: Nemesis,horror-sci-fi,PG-13
Starter For 10,romance,PG-13
State of Play,suspense,PG-13
Step Up,romance,PG-13
Strange Days,horror-sci-fi,R
Strip Search,drama,TV-MA
Stuart: A Life Backwards,drama,TV-MA
Sugar Hill,drama,R
The Sunset Limited,drama,TV-MA
Super Troopers,comedy,R
Surviving Christmas,comedy,PG-13
Sweet Dreams,suspense,PG-13
Switch,comedy,R
Sylvia,drama,R
Table 19,comedy,PG-13
Taco Shop,comedy,TV-MA
Taken,action,PG-13
Taking Chance,drama,TV-PG
Taking Woodstock,drama,R
The Tale,drama,TV-MA
The Tale of Despereaux,family,G
The Tale of Peter Rabbit,,TV-Y
Tales From the Darkside: The Movie,horror-sci-fi,R
Taxi,comedy,PG-13
El Techo (On the Roof),drama,TV-14
The Temp,suspense,R
Temple Grandin,drama,TV-PG
The Terminal,romance,PG-13
Tesoros,latino,TV-G
The Thin Red Line,drama,R
"Three Billboards Outside Ebbing, Missouri",drama,R
"Three Billboards Outside Ebbing, Missouri: HBO First Look",comedy,TV-PG
Thumbelina,family,G
Tightrope,suspense,R
Tim Burton's Corpse Bride,romance,PG
Titan A.E.,action,PG
TMNT,family,PG
Todos Tenemos un Plan (Everybody Has a Plan),drama,R
Tokyo Project,romance,TV-MA
Too Big to Fail,drama,TV-MA
Tooth Fairy,comedy,PG
Truman,comedy,TV-14
The Truth About Charlie,suspense,PG-13
"Tsunami, The Aftermath Part 1",drama,TV-MA
"Tsunami, The Aftermath Part 2",drama,TV-MA
The Turning Point,drama,PG
The Tuskegee Airmen,drama,PG-13
Tyson,drama,TV-MA
U.S. Marshals,drama,PG-13
Under the Tuscan Sun,comedy,PG-13
Undercover Brother,comedy,PG-13
Underworld,horror-sci-fi,R
Urban Myth: Nest,suspense,TV-14
Vampires Suck,comedy,PG-13
Vanilla Sky,drama,R
Vendetta,drama,R
Verde (Green),latino,TV-MA
The Verdict,,R
Very Bad Things,comedy,R
Victoria & Abdul,drama,PG-13
Viewpoint,drama,TV-14
Volcano,drama,PG-13
Volunteers,comedy,R
Waitress,comedy,PG-13
Walkout,drama,TV-14
War for the Planet of the Apes,suspense,PG-13
Warlock,,R
Warlock III: The End of Innocence,,R
Warlock: The Armageddon,,R
Warm Springs,drama,TV-PG
What to Watch: November 2018,drama,TV-14
When Trumpets Fade,drama,R
Where the Wild Things Are,drama,PG
Whip It,drama,PG-13
Whispers in the Dark,suspense,R
White Mile,suspense,R
Wit,drama,PG-13
Without a Trace,suspense,PG
Without Warning: The James Brady Story,drama,R
Witness Protection,drama,R
The Wizard of Lies,drama,TV-MA
Wolves at the Door,suspense,R
Wonder Woman,action,PG-13
Wrong Turn 2: Dead End,horror-sci-fi,R
Wrong Turn 4: Bloody Beginnings,horror-sci-fi,R
Wrong Turn 5: Bloodlines,horror-sci-fi,R
Y manana Navidad (Merry Christmas),comedy,TV-14
Yesterday,drama,R
Yo Soy un Politico (I am a Politician),comedy,TV-14
You Don't Know Jack,drama,TV-14
You've Got Mail,comedy,PG
Zona hostil (Rescue Under Fire),suspense,TV-14
